band,n_paired_raw,n_outliers,n_paired,mean_low,mean_high,mean_diff,median_diff,n_positive,n_negative,pct_positive,statistic,p_value,note,p_fdr,significant
delta,63,0,63,,,,,19,42,30.158730158730158,,,,,
theta,63,1,62,-11.385188,-11.387094,-0.0019093329,-0.016656399,27,35,43.54838709677419,810.0,0.24307160952692763,,0.30383951190865954,False
alpha,63,1,62,-11.755036,-11.722711,0.032328576,0.01504612,37,25,59.67741935483871,745.0,0.10457584801962644,,0.26143962004906607,False
beta,63,1,62,-12.322693,-12.270443,0.052250385,0.03135252,45,17,72.58064516129032,347.0,1.0172657914697092e-05,,5.086328957348546e-05,True
gamma,63,1,62,-13.160817,-13.136753,0.024062973,0.0068826675,37,25,59.67741935483871,798.0,0.2107606649661431,,0.30383951190865954,False
high_gamma,63,1,62,-14.398098,-14.3830385,0.015059302,-0.0011377335,31,31,50.0,964.0,0.9301640699277,,0.9301640699277,False
